Concentration,Temperature,ConversionRate,InletFlow,InletConc,InletTemp,CoolantTemp,NextConcentration,NextTemperature,NextConversionRate
1.4092,333.45,0.86,0.84,9.81,304.11,291.31,1.4138,333.43,0.86
1.4138,333.43,0.86,0.79,9.78,304.27,291.40,1.4178,333.40,0.86
1.4178,333.40,0.86,0.87,9.81,304.33,291.40,1.4226,333.38,0.86
1.4226,333.38,0.85,0.90,9.80,304.43,291.61,1.4277,333.35,0.85
1.4277,333.35,0.86,1.00,9.94,304.27,291.65,1.4336,333.32,0.86
1.4336,333.32,0.85,0.99,9.82,304.15,291.63,1.4394,333.30,0.85
1.4394,333.30,0.85,1.00,9.83,304.12,291.57,1.4453,333.27,0.85
1.4453,333.27,0.86,1.00,10.09,304.25,291.61,1.4514,333.24,0.86
1.4514,333.24,0.86,1.00,10.07,304.20,291.59,1.4575,333.21,0.86
1.4575,333.21,0.86,0.93,10.19,304.11,291.71,1.4630,333.18,0.86
1.4630,333.18,0.86,1.00,10.22,304.06,291.69,1.4692,333.15,0.86
1.4692,333.15,0.86,1.00,10.29,304.18,291.78,1.4755,333.12,0.86
1.4755,333.12,0.86,1.00,10.30,304.09,291.74,1.4818,333.09,0.86
1.4818,333.09,0.86,1.00,10.41,303.99,291.71,1.4881,333.07,0.86
1.4881,333.07,0.86,1.00,10.59,304.15,291.67,1.4947,333.04,0.86
1.4947,333.04,0.86,1.00,10.66,304.17,291.90,1.5012,333.01,0.86
1.5012,333.01,0.86,0.87,10.91,304.01,291.92,1.5069,332.98,0.86
1.5069,332.98,0.86,0.89,10.94,303.98,291.86,1.5127,332.96,0.86
1.5127,332.96,0.86,0.73,10.76,303.95,291.93,1.5168,332.94,0.86
1.5168,332.94,0.86,0.66,10.85,304.11,291.84,1.5204,332.92,0.86
1.5204,332.92,0.86,0.71,10.92,304.19,291.78,1.5245,332.90,0.86
1.5245,332.90,0.86,0.62,10.94,304.09,291.80,1.5277,332.88,0.86
1.5277,332.88,0.86,0.67,10.90,304.10,291.97,1.5314,332.86,0.86
1.5314,332.86,0.86,0.78,11.00,303.99,292.02,1.5362,332.84,0.86
1.5362,332.84,0.86,0.92,11.02,304.11,291.92,1.5423,332.81,0.86
1.5423,332.81,0.86,0.90,10.92,304.22,291.94,1.5481,332.78,0.86
1.5481,332.78,0.86,0.88,10.99,304.06,291.92,1.5538,332.76,0.86
1.5538,332.76,0.86,0.94,11.01,304.04,291.87,1.5601,332.73,0.86
1.5601,332.73,0.86,0.90,11.07,303.96,291.81,1.5661,332.71,0.86
1.5661,332.71,0.86,0.78,11.15,304.25,291.99,1.5710,332.68,0.86
1.5710,332.68,0.86,0.81,10.96,304.29,291.81,1.5760,332.66,0.86
1.5760,332.66,0.86,1.00,10.96,304.29,291.99,1.5827,332.63,0.86
1.5827,332.63,0.85,0.95,10.85,304.30,291.99,1.5889,332.61,0.85
1.5889,332.61,0.85,0.84,10.70,304.42,292.03,1.5939,332.58,0.85
1.5939,332.58,0.85,0.84,10.77,304.45,291.95,1.5989,332.56,0.85
1.5989,332.56,0.85,0.84,10.83,304.47,291.84,1.6041,332.53,0.85
1.6041,332.53,0.85,0.94,10.85,304.52,291.82,1.6101,332.51,0.85
1.6101,332.51,0.85,0.91,10.93,304.46,291.79,1.6159,332.48,0.85
1.6159,332.48,0.85,1.00,10.95,304.31,291.73,1.6226,332.45,0.85
1.6226,332.45,0.85,1.00,11.03,304.43,291.79,1.6293,332.43,0.85
1.6293,332.43,0.85,1.00,10.91,304.53,291.92,1.6359,332.40,0.85
1.6359,332.40,0.85,0.95,10.87,304.69,292.02,1.6420,332.37,0.85
1.6420,332.37,0.85,0.89,10.94,304.78,291.95,1.6476,332.35,0.85
1.6476,332.35,0.85,0.80,11.15,304.84,291.87,1.6525,332.33,0.85
1.6525,332.33,0.85,0.68,11.12,304.75,291.78,1.6562,332.31,0.85
1.6562,332.31,0.85,0.69,11.15,304.91,291.83,1.6600,332.29,0.85
1.6600,332.29,0.85,0.84,11.24,304.97,291.67,1.6654,332.27,0.85
1.6654,332.27,0.85,0.81,11.18,304.70,291.77,1.6703,332.24,0.85
1.6703,332.24,0.85,0.79,11.12,304.74,291.56,1.6751,332.22,0.85
1.6751,332.22,0.85,0.92,11.28,304.77,291.76,1.6812,332.20,0.85
1.6812,332.20,0.85,0.97,11.16,304.61,291.69,1.6877,332.17,0.85
1.6877,332.17,0.85,0.88,11.15,304.72,291.95,1.6933,332.15,0.85
1.6933,332.15,0.85,1.00,11.15,304.54,291.89,1.7001,332.12,0.85
1.7001,332.12,0.85,1.00,11.06,304.74,291.78,1.7067,332.09,0.85
1.7067,332.09,0.85,1.00,11.03,304.66,291.85,1.7133,332.06,0.84
1.7133,332.06,0.84,1.00,10.97,304.53,291.84,1.7198,332.04,0.84
1.7198,332.04,0.84,1.00,10.99,304.57,291.70,1.7264,332.01,0.84
1.7264,332.01,0.84,1.00,11.03,304.55,291.78,1.7329,331.98,0.84
1.7329,331.98,0.84,0.97,11.14,304.50,291.80,1.7393,331.95,0.84
1.7393,331.95,0.84,0.88,11.14,304.33,291.60,1.7448,331.93,0.84
1.7448,331.93,0.84,0.87,11.18,304.22,291.50,1.7503,331.91,0.84
1.7503,331.91,0.84,0.66,11.23,304.22,291.47,1.7538,331.89,0.84
1.7538,331.89,0.84,0.65,11.20,304.06,291.50,1.7571,331.87,0.84
1.7571,331.87,0.84,0.74,11.22,304.03,291.59,1.7614,331.85,0.84
1.7614,331.85,0.84,0.63,11.27,303.84,291.72,1.7646,331.83,0.84
1.7646,331.83,0.85,0.66,11.44,303.83,291.69,1.7683,331.81,0.85
1.7683,331.81,0.85,0.64,11.54,303.79,291.74,1.7718,331.79,0.85
1.7718,331.79,0.84,0.65,11.42,303.82,291.79,1.7753,331.78,0.84
1.7753,331.78,0.85,0.48,11.46,303.83,291.85,1.7772,331.76,0.84
1.7772,331.76,0.85,0.53,11.62,303.78,291.89,1.7797,331.75,0.85
1.7797,331.75,0.85,0.51,11.56,303.68,291.96,1.7819,331.73,0.85
1.7819,331.73,0.84,0.38,11.40,303.69,291.89,1.7828,331.72,0.84
1.7828,331.72,0.84,0.34,11.42,303.74,291.78,1.7834,331.71,0.84
1.7834,331.71,0.84,0.33,11.46,303.73,291.72,1.7837,331.70,0.84
1.7837,331.70,0.84,0.27,11.45,303.71,291.89,1.7836,331.70,0.84
1.7836,331.70,0.84,0.24,11.33,303.72,291.93,1.7831,331.69,0.84
1.7831,331.69,0.84,0.24,11.29,303.72,291.84,1.7827,331.68,0.84
1.7827,331.68,0.84,0.24,11.36,303.63,291.72,1.7822,331.68,0.84
1.7822,331.68,0.85,0.24,11.51,303.45,291.80,1.7818,331.67,0.85
1.7818,331.67,0.85,0.23,11.51,303.27,291.65,1.7813,331.66,0.85
1.7813,331.66,0.84,0.29,11.47,303.28,291.49,1.7813,331.66,0.84
1.7813,331.66,0.84,0.25,11.35,303.21,291.32,1.7810,331.65,0.84
1.7810,331.65,0.85,0.09,11.53,303.27,291.23,1.7791,331.65,0.85
1.7791,331.65,0.84,0.13,11.43,303.17,291.42,1.7776,331.64,0.84
1.7776,331.64,0.84,0.21,11.20,303.15,291.47,1.7769,331.64,0.84
1.7769,331.64,0.84,0.14,11.10,303.19,291.40,1.7755,331.63,0.84
1.7755,331.63,0.84,0.20,11.01,303.10,291.55,1.7746,331.63,0.84
1.7746,331.63,0.84,0.15,11.16,303.02,291.47,1.7733,331.62,0.84
1.7733,331.62,0.84,0.00,11.10,303.08,291.51,1.7706,331.62,0.84
1.7706,331.62,0.84,0.01,10.93,303.24,291.52,1.7680,331.62,0.84
1.7680,331.62,0.84,0.00,10.87,303.38,291.54,1.7652,331.62,0.84
1.7652,331.62,0.84,0.06,10.99,303.32,291.52,1.7631,331.62,0.84
1.7631,331.62,0.84,0.02,10.91,303.49,291.46,1.7606,331.62,0.84
1.7606,331.62,0.84,0.14,10.94,303.53,291.39,1.7592,331.62,0.84
1.7592,331.62,0.84,0.21,10.96,303.68,291.41,1.7584,331.61,0.84
1.7584,331.61,0.84,0.34,10.99,303.60,291.60,1.7589,331.60,0.84
1.7589,331.60,0.84,0.44,11.02,303.76,291.64,1.7603,331.59,0.84
1.7603,331.59,0.84,0.50,11.18,303.89,291.70,1.7623,331.57,0.84
1.7623,331.57,0.84,0.49,11.20,303.91,291.58,1.7642,331.56,0.84
1.7642,331.56,0.84,0.68,11.15,304.01,291.57,1.7679,331.54,0.84
1.7679,331.54,0.84,0.56,11.22,303.88,291.62,1.7705,331.53,0.84
1.7705,331.53,0.84,0.44,11.21,303.85,291.57,1.7719,331.51,0.84
1.7719,331.51,0.84,0.50,11.28,303.87,291.81,1.7740,331.50,0.84
1.7740,331.50,0.84,0.44,11.14,303.81,291.80,1.7754,331.49,0.84
1.7754,331.49,0.84,0.59,11.16,303.70,291.74,1.7782,331.47,0.84
1.7782,331.47,0.84,0.44,11.16,303.63,291.87,1.7797,331.46,0.84
1.7797,331.46,0.84,0.26,11.23,303.55,291.89,1.7794,331.45,0.84
1.7794,331.45,0.84,0.19,11.05,303.61,292.03,1.7785,331.45,0.84
1.7785,331.45,0.84,0.17,11.02,303.80,291.92,1.7773,331.44,0.84
1.7773,331.44,0.84,0.18,11.12,303.90,291.95,1.7763,331.44,0.84
1.7763,331.44,0.84,0.17,11.30,303.96,292.16,1.7752,331.43,0.84
1.7752,331.43,0.84,0.18,11.27,304.17,292.01,1.7743,331.43,0.84
1.7743,331.43,0.84,0.23,11.17,304.08,292.04,1.7737,331.42,0.84
1.7737,331.42,0.84,0.38,11.19,304.21,292.10,1.7746,331.41,0.84
1.7746,331.41,0.84,0.40,11.11,304.20,292.08,1.7756,331.40,0.84
1.7756,331.40,0.84,0.52,11.09,304.17,292.12,1.7779,331.39,0.84
1.7779,331.39,0.84,0.61,11.25,304.13,292.28,1.7809,331.37,0.84
1.7809,331.37,0.84,0.65,11.24,304.08,292.34,1.7844,331.35,0.84
1.7844,331.35,0.84,0.56,10.93,303.88,292.28,1.7869,331.34,0.84
1.7869,331.34,0.84,0.76,10.98,303.82,292.20,1.7911,331.32,0.84
1.7911,331.32,0.84,0.85,10.92,303.73,292.24,1.7962,331.29,0.84
1.7962,331.29,0.83,0.77,10.84,303.61,292.34,1.8005,331.27,0.83
1.8005,331.27,0.83,0.68,10.80,303.75,292.43,1.8039,331.25,0.83
1.8039,331.25,0.83,0.76,10.63,303.75,292.36,1.8079,331.23,0.83
1.8079,331.23,0.83,0.74,10.56,303.84,292.36,1.8118,331.21,0.83
1.8118,331.21,0.83,0.96,10.49,303.68,292.32,1.8174,331.18,0.83
1.8174,331.18,0.83,0.88,10.55,303.56,292.53,1.8223,331.16,0.83
1.8223,331.16,0.83,0.91,10.55,303.37,292.52,1.8276,331.14,0.83
1.8276,331.14,0.83,1.00,10.56,303.35,292.71,1.8336,331.11,0.83
1.8336,331.11,0.83,1.00,10.64,303.45,292.83,1.8397,331.08,0.83
1.8397,331.08,0.83,0.89,10.52,303.45,292.86,1.8447,331.06,0.82
1.8447,331.06,0.82,1.00,10.48,303.45,292.72,1.8507,331.03,0.82
1.8507,331.03,0.82,0.84,10.27,303.26,292.77,1.8550,331.00,0.82
1.8550,331.00,0.82,0.84,10.26,303.09,292.81,1.8594,330.98,0.82
1.8594,330.98,0.82,0.85,10.32,303.23,292.60,1.8638,330.96,0.82
1.8638,330.96,0.82,0.80,10.45,303.28,292.63,1.8680,330.94,0.82
1.8680,330.94,0.82,0.95,10.40,303.23,292.65,1.8734,330.91,0.82
1.8734,330.91,0.82,0.98,10.33,303.11,292.69,1.8790,330.88,0.82
1.8790,330.88,0.82,0.90,10.27,303.13,292.55,1.8838,330.86,0.82
1.8838,330.86,0.82,0.72,10.24,303.06,292.55,1.8871,330.84,0.82
1.8871,330.84,0.81,0.66,10.18,303.07,292.60,1.8899,330.82,0.81
1.8899,330.82,0.81,0.51,10.13,302.94,292.59,1.8914,330.80,0.81
1.8914,330.80,0.81,0.38,10.10,302.98,292.71,1.8918,330.79,0.81
1.8918,330.79,0.81,0.37,10.18,303.06,292.81,1.8921,330.78,0.81
1.8921,330.78,0.82,0.31,10.23,302.92,292.81,1.8920,330.77,0.82
1.8920,330.77,0.81,0.35,10.11,302.93,292.86,1.8921,330.77,0.81
1.8921,330.77,0.81,0.18,10.18,303.01,292.82,1.8909,330.76,0.81
1.8909,330.76,0.82,0.25,10.31,302.93,292.73,1.8903,330.75,0.82
1.8903,330.75,0.82,0.16,10.22,302.95,292.88,1.8889,330.75,0.82
1.8889,330.75,0.81,0.30,10.12,302.74,292.67,1.8887,330.74,0.81
1.8887,330.74,0.81,0.42,10.19,302.78,292.57,1.8895,330.73,0.81
1.8895,330.73,0.82,0.52,10.22,302.88,292.68,1.8912,330.71,0.81
1.8912,330.71,0.81,0.73,10.07,302.79,292.59,1.8945,330.69,0.81
1.8945,330.69,0.81,0.59,10.16,302.75,292.64,1.8966,330.68,0.81
1.8966,330.68,0.81,0.60,10.14,302.85,292.66,1.8989,330.66,0.81
1.8989,330.66,0.81,0.50,9.98,302.88,292.73,1.9003,330.65,0.81
1.9003,330.65,0.81,0.41,9.85,302.96,292.74,1.9008,330.64,0.81
1.9008,330.64,0.81,0.39,9.87,302.90,292.72,1.9013,330.62,0.81
1.9013,330.62,0.81,0.43,9.81,302.98,292.61,1.9020,330.61,0.81
1.9020,330.61,0.80,0.32,9.70,302.94,292.60,1.9018,330.60,0.80
1.9018,330.60,0.81,0.44,9.87,303.03,292.69,1.9026,330.59,0.81
1.9026,330.59,0.81,0.54,9.93,303.00,292.56,1.9043,330.58,0.81
1.9043,330.58,0.81,0.60,9.92,302.99,292.60,1.9064,330.56,0.81
1.9064,330.56,0.81,0.56,9.83,302.81,292.58,1.9081,330.54,0.81
1.9081,330.54,0.81,0.71,9.81,302.81,292.54,1.9110,330.53,0.81
1.9110,330.53,0.81,0.77,9.85,302.79,292.54,1.9144,330.50,0.81
1.9144,330.50,0.81,0.67,9.90,302.70,292.59,1.9171,330.49,0.81
1.9171,330.49,0.81,0.55,9.89,302.64,292.55,1.9187,330.47,0.81
1.9187,330.47,0.81,0.48,10.01,302.64,292.59,1.9200,330.46,0.81
1.9200,330.46,0.81,0.72,10.19,302.60,292.69,1.9232,330.44,0.81
1.9232,330.44,0.81,0.80,10.03,302.61,292.65,1.9270,330.41,0.81
1.9270,330.41,0.80,0.62,9.86,302.50,292.45,1.9293,330.40,0.80
1.9293,330.40,0.80,0.58,9.74,302.42,292.26,1.9312,330.38,0.80
1.9312,330.38,0.80,0.69,9.56,302.44,292.26,1.9337,330.36,0.80
1.9337,330.36,0.80,0.62,9.80,302.44,292.12,1.9359,330.34,0.80
1.9359,330.34,0.80,0.65,9.76,302.44,292.24,1.9383,330.33,0.80
1.9383,330.33,0.81,0.66,9.99,302.35,292.30,1.9410,330.31,0.81
1.9410,330.31,0.81,0.79,10.11,302.27,292.37,1.9447,330.29,0.81
1.9447,330.29,0.81,0.74,10.02,302.45,292.48,1.9480,330.27,0.81
1.9480,330.27,0.81,0.81,10.11,302.43,292.49,1.9520,330.24,0.81
1.9520,330.24,0.81,0.69,10.17,302.57,292.53,1.9550,330.22,0.81
1.9550,330.22,0.81,0.69,10.33,302.85,292.60,1.9581,330.20,0.81
1.9581,330.20,0.81,0.59,10.40,302.62,292.59,1.9605,330.19,0.81
1.9605,330.19,0.81,0.47,10.39,302.53,292.59,1.9618,330.18,0.81
1.9618,330.18,0.81,0.45,10.53,302.56,292.50,1.9630,330.16,0.81
1.9630,330.16,0.82,0.42,10.63,302.53,292.48,1.9639,330.15,0.82
1.9639,330.15,0.82,0.60,10.68,302.52,292.48,1.9664,330.13,0.82
1.9664,330.13,0.81,0.49,10.61,302.61,292.51,1.9680,330.12,0.81
1.9680,330.12,0.82,0.45,10.67,302.44,292.46,1.9693,330.11,0.82
1.9693,330.11,0.81,0.46,10.49,302.63,292.47,1.9705,330.10,0.81
1.9705,330.10,0.81,0.38,10.45,302.67,292.41,1.9710,330.09,0.81
1.9710,330.09,0.81,0.32,10.51,302.68,292.52,1.9712,330.08,0.81
1.9712,330.08,0.81,0.41,10.56,302.72,292.49,1.9720,330.07,0.81
1.9720,330.07,0.81,0.40,10.55,302.65,292.43,1.9728,330.05,0.81
1.9728,330.05,0.81,0.45,10.48,302.68,292.53,1.9739,330.04,0.81
1.9739,330.04,0.81,0.40,10.38,302.69,292.64,1.9747,330.03,0.81
1.9747,330.03,0.81,0.49,10.39,302.58,292.62,1.9761,330.02,0.81
1.9761,330.02,0.81,0.40,10.50,302.52,292.53,1.9768,330.01,0.81
1.9768,330.01,0.81,0.27,10.44,302.53,292.50,1.9765,330.00,0.81
1.9765,330.00,0.81,0.27,10.44,302.53,292.42,1.9761,329.99,0.81
1.9761,329.99,0.81,0.25,10.40,302.45,292.35,1.9755,329.99,0.81
1.9755,329.99,0.81,0.19,10.33,302.54,292.39,1.9745,329.98,0.81
1.9745,329.98,0.81,0.22,10.32,302.53,292.35,1.9737,329.97,0.81
1.9737,329.97,0.81,0.23,10.36,302.50,292.46,1.9730,329.97,0.81
1.9730,329.97,0.81,0.19,10.39,302.48,292.58,1.9719,329.96,0.81
1.9719,329.96,0.81,0.18,10.34,302.44,292.57,1.9708,329.96,0.81
1.9708,329.96,0.81,0.16,10.31,302.24,292.53,1.9695,329.95,0.81
1.9695,329.95,0.81,0.03,10.21,302.05,292.45,1.9671,329.95,0.81
1.9671,329.95,0.81,0.00,10.33,302.07,292.24,1.9645,329.95,0.81
1.9645,329.95,0.81,0.00,10.11,302.31,292.24,1.9618,329.95,0.81
1.9618,329.95,0.81,0.02,10.18,302.36,292.30,1.9594,329.95,0.81
1.9594,329.95,0.80,0.10,10.00,302.32,292.20,1.9576,329.95,0.80
1.9576,329.95,0.80,0.06,9.98,302.30,292.34,1.9555,329.95,0.80
1.9555,329.95,0.80,0.20,10.00,302.24,292.39,1.9545,329.94,0.80
1.9545,329.94,0.80,0.24,9.76,302.37,292.44,1.9538,329.93,0.80
1.9538,329.93,0.80,0.23,9.76,302.24,292.55,1.9530,329.93,0.80
1.9530,329.93,0.80,0.27,9.67,302.21,292.76,1.9525,329.92,0.80
1.9525,329.92,0.79,0.45,9.44,302.06,292.58,1.9532,329.91,0.79
1.9532,329.91,0.79,0.48,9.25,302.07,292.75,1.9541,329.90,0.79
1.9541,329.90,0.79,0.47,9.27,301.98,292.95,1.9549,329.88,0.79
1.9549,329.88,0.78,0.43,9.03,302.15,292.87,1.9554,329.87,0.78
1.9554,329.87,0.79,0.48,9.17,302.25,292.83,1.9563,329.86,0.79
1.9563,329.86,0.79,0.40,9.17,302.17,292.82,1.9565,329.85,0.79
1.9565,329.85,0.78,0.46,9.02,302.05,292.93,1.9572,329.83,0.78
1.9572,329.83,0.78,0.49,8.97,301.91,292.83,1.9581,329.82,0.78
1.9581,329.82,0.78,0.45,8.92,301.96,292.86,1.9586,329.81,0.78
1.9586,329.81,0.78,0.38,8.93,302.02,292.68,1.9587,329.80,0.78
1.9587,329.80,0.78,0.72,8.81,302.20,292.67,1.9610,329.78,0.78
1.9610,329.78,0.78,0.68,8.82,302.09,292.66,1.9631,329.76,0.78
1.9631,329.76,0.78,0.61,8.79,301.93,292.81,1.9647,329.74,0.78
1.9647,329.74,0.78,0.61,8.74,301.75,292.82,1.9663,329.72,0.77
1.9663,329.72,0.78,0.57,8.79,301.61,292.76,1.9676,329.71,0.78
1.9676,329.71,0.77,0.58,8.71,301.46,292.82,1.9690,329.69,0.77
1.9690,329.69,0.77,0.62,8.66,301.53,292.81,1.9706,329.67,0.77
1.9706,329.67,0.77,0.70,8.69,301.53,292.99,1.9727,329.65,0.77
1.9727,329.65,0.77,0.60,8.70,301.61,292.89,1.9742,329.64,0.77
1.9742,329.64,0.78,0.51,8.79,301.62,292.91,1.9751,329.62,0.78
1.9751,329.62,0.78,0.56,8.92,301.72,292.89,1.9764,329.61,0.78
1.9764,329.61,0.78,0.68,8.93,301.69,292.85,1.9786,329.59,0.78
1.9786,329.59,0.78,0.67,9.09,301.65,292.76,1.9808,329.57,0.78
1.9808,329.57,0.78,0.70,9.05,301.54,292.80,1.9832,329.55,0.78
1.9832,329.55,0.77,0.84,8.75,301.51,292.95,1.9863,329.53,0.77
1.9863,329.53,0.78,0.92,8.91,301.41,292.89,1.9900,329.50,0.78
1.9900,329.50,0.77,0.77,8.84,301.48,292.92,1.9928,329.48,0.77
1.9928,329.48,0.77,0.65,8.84,301.62,293.02,1.9947,329.46,0.77
1.9947,329.46,0.77,0.64,8.73,301.36,292.91,1.9964,329.44,0.77
1.9964,329.44,0.77,0.64,8.70,301.27,292.81,1.9981,329.42,0.77
1.9981,329.42,0.77,0.57,8.70,301.24,292.80,1.9994,329.41,0.77
1.9994,329.41,0.77,0.58,8.72,301.41,292.82,2.0007,329.39,0.77
2.0007,329.39,0.77,0.65,8.68,301.42,292.80,2.0025,329.37,0.77
2.0025,329.37,0.77,0.82,8.64,301.42,292.93,2.0054,329.35,0.77
2.0054,329.35,0.77,0.91,8.70,301.66,292.82,2.0090,329.33,0.77
2.0090,329.33,0.76,0.95,8.52,301.75,292.73,2.0126,329.30,0.76
2.0126,329.30,0.76,0.92,8.35,301.88,292.73,2.0159,329.27,0.76
2.0159,329.27,0.76,1.00,8.32,301.93,292.75,2.0197,329.25,0.76
2.0197,329.25,0.76,0.90,8.33,301.81,292.64,2.0228,329.22,0.76
2.0228,329.22,0.76,0.85,8.45,301.86,292.67,2.0257,329.20,0.76
2.0257,329.20,0.76,0.96,8.59,301.91,292.70,2.0295,329.17,0.76
2.0295,329.17,0.76,0.85,8.55,301.97,292.90,2.0325,329.15,0.76
2.0325,329.15,0.76,0.68,8.35,302.12,292.97,2.0342,329.13,0.76
2.0342,329.13,0.76,0.63,8.49,302.02,293.07,2.0357,329.11,0.76
2.0357,329.11,0.76,0.66,8.44,302.00,293.01,2.0375,329.10,0.76
2.0375,329.10,0.76,0.60,8.47,302.01,292.95,2.0388,329.08,0.76
2.0388,329.08,0.76,0.78,8.59,301.94,292.94,2.0413,329.06,0.76
2.0413,329.06,0.76,0.89,8.38,301.96,292.84,2.0444,329.03,0.76
2.0444,329.03,0.76,0.99,8.47,301.77,292.76,2.0483,329.01,0.76
2.0483,329.01,0.76,0.89,8.55,301.68,292.61,2.0515,328.98,0.76
2.0515,328.98,0.76,0.97,8.57,301.51,292.48,2.0554,328.96,0.76
2.0554,328.96,0.76,1.00,8.49,301.63,292.52,2.0593,328.93,0.76
2.0593,328.93,0.76,1.00,8.55,301.60,292.63,2.0632,328.90,0.76
2.0632,328.90,0.76,1.00,8.48,301.65,292.81,2.0671,328.87,0.76
2.0671,328.87,0.75,0.97,8.38,301.81,292.83,2.0707,328.85,0.75
2.0707,328.85,0.75,0.98,8.45,301.71,292.87,2.0744,328.82,0.75
2.0744,328.82,0.76,0.74,8.47,301.78,292.75,2.0766,328.80,0.75
2.0766,328.80,0.76,0.66,8.48,301.84,292.60,2.0784,328.78,0.75
2.0784,328.78,0.75,0.52,8.45,301.70,292.58,2.0792,328.77,0.75
2.0792,328.77,0.75,0.34,8.45,301.60,292.64,2.0788,328.76,0.75
2.0788,328.76,0.75,0.41,8.41,301.53,292.70,2.0789,328.75,0.75
2.0789,328.75,0.75,0.44,8.45,301.50,292.72,2.0792,328.74,0.75
2.0792,328.74,0.75,0.57,8.34,301.56,292.77,2.0803,328.72,0.75
2.0803,328.72,0.75,0.62,8.32,301.79,292.72,2.0817,328.71,0.75
2.0817,328.71,0.75,0.59,8.47,301.88,292.82,2.0830,328.69,0.75
2.0830,328.69,0.75,0.68,8.39,301.95,292.85,2.0848,328.67,0.75
2.0848,328.67,0.75,0.55,8.37,301.97,292.86,2.0857,328.66,0.75
2.0857,328.66,0.74,0.36,8.16,301.92,292.90,2.0854,328.65,0.74
2.0854,328.65,0.75,0.49,8.22,302.07,292.91,2.0859,328.63,0.75
2.0859,328.63,0.75,0.43,8.22,302.00,292.85,2.0861,328.62,0.75
2.0861,328.62,0.75,0.43,8.26,302.01,292.87,2.0862,328.61,0.75
2.0862,328.61,0.74,0.62,8.17,302.02,292.83,2.0875,328.59,0.74
2.0875,328.59,0.74,0.64,8.07,302.07,293.02,2.0888,328.58,0.74
2.0888,328.58,0.74,0.66,8.16,302.01,292.93,2.0904,328.56,0.74
2.0904,328.56,0.75,0.80,8.42,301.97,292.91,2.0930,328.54,0.75
2.0930,328.54,0.75,0.66,8.39,302.12,292.73,2.0947,328.52,0.75
2.0947,328.52,0.75,0.79,8.30,302.15,292.67,2.0971,328.50,0.75
2.0971,328.50,0.73,0.93,7.90,302.09,292.53,2.1000,328.48,0.73
2.1000,328.48,0.74,0.78,8.01,302.20,292.50,2.1022,328.45,0.74
2.1022,328.45,0.74,0.81,7.96,302.23,292.47,2.1044,328.43,0.74
2.1044,328.43,0.74,0.81,8.04,302.32,292.46,2.1067,328.41,0.74
2.1067,328.41,0.73,0.88,7.85,302.26,292.48,2.1093,328.39,0.73
2.1093,328.39,0.73,1.00,7.95,302.09,292.58,2.1126,328.36,0.73
2.1126,328.36,0.74,0.93,8.05,302.10,292.56,2.1157,328.34,0.74
2.1157,328.34,0.74,0.99,8.13,302.06,292.56,2.1192,328.31,0.74
2.1192,328.31,0.74,0.98,8.07,302.12,292.64,2.1225,328.29,0.74
2.1225,328.29,0.74,1.00,8.22,302.07,292.62,2.1261,328.26,0.74
2.1261,328.26,0.74,1.00,8.13,301.95,292.48,2.1297,328.23,0.74
2.1297,328.23,0.74,1.00,8.13,302.04,292.27,2.1332,328.21,0.74
2.1332,328.21,0.74,0.94,8.19,302.18,292.36,2.1364,328.18,0.74
2.1364,328.18,0.74,0.96,8.12,302.39,292.29,2.1397,328.16,0.74
2.1397,328.16,0.73,0.76,7.94,302.48,292.41,2.1417,328.14,0.73
2.1417,328.14,0.73,0.87,8.08,302.40,292.48,2.1444,328.12,0.73
2.1444,328.12,0.73,0.88,8.02,302.39,292.64,2.1471,328.09,0.73
2.1471,328.09,0.72,0.79,7.76,302.34,292.54,2.1491,328.07,0.72
2.1491,328.07,0.72,0.80,7.77,302.44,292.39,2.1511,328.05,0.72
2.1511,328.05,0.72,0.73,7.65,302.48,292.36,2.1527,328.03,0.72
2.1527,328.03,0.73,0.75,7.85,302.47,292.36,2.1545,328.02,0.73
2.1545,328.02,0.73,0.72,8.00,302.30,292.55,2.1562,328.00,0.73
2.1562,328.00,0.73,0.70,8.04,302.34,292.34,2.1579,327.98,0.73
2.1579,327.98,0.73,0.64,7.97,302.39,292.34,2.1592,327.96,0.73
2.1592,327.96,0.73,0.76,7.90,302.51,292.32,2.1611,327.94,0.73
2.1611,327.94,0.73,0.79,8.05,302.56,292.29,2.1633,327.92,0.73
2.1633,327.92,0.73,0.79,8.08,302.71,292.15,2.1656,327.90,0.73
2.1656,327.90,0.73,0.82,8.07,302.68,292.08,2.1680,327.88,0.73
2.1680,327.88,0.73,0.85,8.03,302.66,292.21,2.1705,327.86,0.73
2.1705,327.86,0.73,0.74,8.11,302.75,292.23,2.1725,327.84,0.73
2.1725,327.84,0.73,0.65,8.12,302.62,292.21,2.1739,327.83,0.73
2.1739,327.83,0.73,0.81,8.06,302.57,292.07,2.1763,327.81,0.73
2.1763,327.81,0.73,0.83,8.07,302.46,291.98,2.1787,327.78,0.73
2.1787,327.78,0.73,0.89,8.14,302.48,291.92,2.1816,327.76,0.73
2.1816,327.76,0.74,0.94,8.33,302.66,291.86,2.1849,327.74,0.74
2.1849,327.74,0.74,1.00,8.35,302.73,291.79,2.1886,327.71,0.74
2.1886,327.71,0.74,0.93,8.46,302.74,291.80,2.1920,327.69,0.74
