Concentration,Temperature,ConversionRate,InletFlow,InletConc,InletTemp,CoolantTemp,NextConcentration,NextTemperature,NextConversionRate
0.5854,348.49,0.95,0.28,11.13,300.96,290.93,0.5851,348.48,0.95
0.5851,348.48,0.95,0.45,11.21,300.97,290.96,0.5865,348.46,0.95
0.5865,348.46,0.95,0.40,11.18,300.79,291.04,0.5874,348.44,0.95
0.5874,348.44,0.95,0.40,11.14,300.89,291.05,0.5883,348.42,0.95
0.5883,348.42,0.95,0.21,11.36,301.01,291.13,0.5871,348.41,0.95
0.5871,348.41,0.95,0.31,11.32,300.93,291.01,0.5871,348.40,0.95
0.5871,348.40,0.95,0.36,11.29,300.89,290.96,0.5876,348.38,0.95
0.5876,348.38,0.95,0.41,11.22,300.99,290.96,0.5887,348.36,0.95
0.5887,348.36,0.95,0.37,11.20,300.90,290.95,0.5893,348.34,0.95
0.5893,348.34,0.95,0.42,11.34,300.94,290.95,0.5905,348.32,0.95
0.5905,348.32,0.95,0.40,11.51,301.21,290.95,0.5914,348.30,0.95
0.5914,348.30,0.95,0.38,11.54,301.09,291.07,0.5922,348.29,0.95
0.5922,348.29,0.95,0.30,11.76,301.08,291.12,0.5923,348.27,0.95
0.5923,348.27,0.95,0.32,11.76,301.10,291.17,0.5924,348.26,0.95
0.5924,348.26,0.95,0.25,11.75,301.03,291.29,0.5919,348.25,0.95
0.5919,348.25,0.95,0.20,11.81,300.98,291.38,0.5908,348.24,0.95
0.5908,348.24,0.95,0.29,11.91,300.94,291.38,0.5907,348.22,0.95
0.5907,348.22,0.95,0.43,11.80,300.88,291.43,0.5923,348.20,0.95
0.5923,348.20,0.95,0.58,11.77,300.89,291.50,0.5954,348.17,0.95
0.5954,348.17,0.95,0.42,11.90,300.97,291.44,0.5968,348.15,0.95
0.5968,348.15,0.95,0.39,11.90,300.91,291.48,0.5979,348.14,0.95
0.5979,348.14,0.95,0.17,12.02,300.82,291.45,0.5965,348.13,0.95
0.5965,348.13,0.95,0.37,12.03,300.85,291.45,0.5974,348.11,0.95
0.5974,348.11,0.95,0.39,12.09,300.90,291.41,0.5985,348.09,0.95
0.5985,348.09,0.95,0.26,12.14,300.80,291.28,0.5983,348.08,0.95
0.5983,348.08,0.95,0.33,12.16,300.84,291.30,0.5988,348.06,0.95
0.5988,348.06,0.95,0.39,12.14,300.80,291.36,0.6000,348.05,0.95
0.6000,348.05,0.95,0.36,12.11,300.68,291.30,0.6008,348.03,0.95
0.6008,348.03,0.95,0.29,12.34,300.57,291.08,0.6010,348.01,0.95
0.6010,348.01,0.95,0.41,12.53,300.46,291.23,0.6025,348.00,0.95
0.6025,348.00,0.95,0.39,12.41,300.47,291.23,0.6038,347.98,0.95
0.6038,347.98,0.95,0.41,12.51,300.50,291.50,0.6053,347.96,0.95
0.6053,347.96,0.95,0.50,12.55,300.48,291.44,0.6080,347.93,0.95
0.6080,347.93,0.95,0.49,12.38,300.67,291.49,0.6105,347.91,0.95
0.6105,347.91,0.95,0.62,12.38,300.74,291.49,0.6145,347.88,0.95
0.6145,347.88,0.95,0.58,12.23,300.65,291.51,0.6178,347.85,0.95
0.6178,347.85,0.95,0.47,12.19,300.57,291.59,0.6199,347.83,0.95
0.6199,347.83,0.95,0.45,12.03,300.63,291.67,0.6217,347.81,0.95
0.6217,347.81,0.95,0.42,12.03,300.39,291.66,0.6231,347.79,0.95
0.6231,347.79,0.95,0.52,12.18,300.35,291.64,0.6258,347.76,0.95
0.6258,347.76,0.95,0.54,12.25,300.42,291.32,0.6286,347.74,0.95
0.6286,347.74,0.95,0.42,12.17,300.34,291.39,0.6301,347.72,0.95
0.6301,347.72,0.95,0.55,12.32,300.25,291.48,0.6330,347.69,0.95
0.6330,347.69,0.95,0.67,12.26,300.39,291.45,0.6374,347.66,0.95
0.6374,347.66,0.95,0.76,12.19,300.39,291.52,0.6427,347.63,0.95
0.6427,347.63,0.95,0.69,12.13,300.44,291.37,0.6472,347.59,0.95
0.6472,347.59,0.95,0.69,12.02,300.48,291.22,0.6516,347.56,0.95
0.6516,347.56,0.95,0.74,12.05,300.34,291.32,0.6565,347.53,0.95
0.6565,347.53,0.94,0.81,11.93,300.39,291.40,0.6622,347.49,0.94
0.6622,347.49,0.94,0.89,11.89,300.55,291.41,0.6686,347.45,0.94
0.6686,347.45,0.94,0.85,11.86,300.67,291.27,0.6746,347.41,0.94
0.6746,347.41,0.94,0.99,11.94,300.58,291.32,0.6822,347.36,0.94
0.6822,347.36,0.94,0.80,11.95,300.50,291.38,0.6876,347.32,0.94
0.6876,347.32,0.94,0.87,12.04,300.46,291.29,0.6939,347.28,0.94
0.6939,347.28,0.94,0.99,12.01,300.46,291.11,0.7014,347.24,0.94
0.7014,347.24,0.94,0.74,12.09,300.58,291.07,0.7062,347.20,0.94
0.7062,347.20,0.94,0.81,12.10,300.67,291.06,0.7118,347.16,0.94
0.7118,347.16,0.94,0.78,12.03,300.71,290.97,0.7170,347.13,0.94
0.7170,347.13,0.94,0.91,11.99,300.60,290.94,0.7235,347.08,0.94
0.7235,347.08,0.94,0.72,11.97,300.51,290.83,0.7278,347.05,0.94
0.7278,347.05,0.94,0.78,12.00,300.50,290.82,0.7328,347.02,0.94
0.7328,347.02,0.94,0.68,11.97,300.72,290.94,0.7367,346.98,0.94
0.7367,346.98,0.94,0.88,11.98,300.62,290.95,0.7429,346.94,0.94
0.7429,346.94,0.94,0.75,11.89,300.60,290.95,0.7474,346.91,0.94
0.7474,346.91,0.94,0.64,11.72,300.65,290.86,0.7506,346.88,0.94
0.7506,346.88,0.94,0.58,11.58,300.76,290.88,0.7531,346.85,0.93
0.7531,346.85,0.94,0.47,11.77,300.72,291.11,0.7544,346.83,0.94
0.7544,346.83,0.94,0.45,11.73,300.72,290.85,0.7556,346.81,0.94
0.7556,346.81,0.94,0.30,11.82,300.77,290.79,0.7551,346.80,0.94
0.7551,346.80,0.94,0.28,11.91,300.74,290.74,0.7544,346.78,0.94
0.7544,346.78,0.94,0.58,12.06,300.68,290.82,0.7572,346.76,0.94
0.7572,346.76,0.94,0.65,12.14,300.58,291.04,0.7608,346.73,0.94
0.7608,346.73,0.94,0.63,12.32,300.48,291.01,0.7642,346.70,0.94
0.7642,346.70,0.94,0.76,12.41,300.51,291.14,0.7692,346.66,0.94
0.7692,346.66,0.94,0.78,12.53,300.57,291.23,0.7745,346.63,0.94
0.7745,346.63,0.94,0.76,12.55,300.73,291.37,0.7797,346.59,0.94
0.7797,346.59,0.94,0.98,12.61,300.70,291.36,0.7874,346.55,0.94
0.7874,346.55,0.94,0.96,12.65,300.68,291.37,0.7949,346.50,0.94
0.7949,346.50,0.94,0.93,12.75,300.64,291.36,0.8022,346.46,0.94
0.8022,346.46,0.94,0.91,12.87,300.66,291.51,0.8092,346.42,0.94
0.8092,346.42,0.94,0.73,12.85,300.57,291.55,0.8140,346.38,0.94
0.8140,346.38,0.94,0.76,12.90,300.51,291.56,0.8193,346.35,0.94
0.8193,346.35,0.94,0.78,12.91,300.61,291.58,0.8248,346.31,0.94
0.8248,346.31,0.94,0.77,12.85,300.61,291.55,0.8300,346.28,0.94
0.8300,346.28,0.94,0.95,12.78,300.70,291.49,0.8372,346.23,0.93
0.8372,346.23,0.93,0.80,12.65,300.74,291.54,0.8426,346.20,0.93
0.8426,346.20,0.93,0.87,12.51,300.74,291.58,0.8487,346.16,0.93
0.8487,346.16,0.93,0.85,12.31,301.00,291.55,0.8543,346.12,0.93
0.8543,346.12,0.93,0.86,12.40,300.90,291.49,0.8601,346.08,0.93
0.8601,346.08,0.93,0.89,12.46,300.96,291.54,0.8663,346.04,0.93
0.8663,346.04,0.93,0.87,12.53,300.89,291.62,0.8723,346.00,0.93
0.8723,346.00,0.93,0.74,12.45,301.09,291.63,0.8768,345.97,0.93
0.8768,345.97,0.93,0.50,12.51,301.05,291.73,0.8784,345.95,0.93
0.8784,345.95,0.93,0.48,12.55,301.02,291.62,0.8798,345.93,0.93
0.8798,345.93,0.93,0.52,12.45,300.86,291.86,0.8817,345.90,0.93
0.8817,345.90,0.93,0.69,12.55,300.81,291.95,0.8856,345.87,0.93
0.8856,345.87,0.93,0.73,12.67,300.71,291.89,0.8900,345.84,0.93
0.8900,345.84,0.93,0.51,12.65,300.88,291.88,0.8918,345.82,0.93
0.8918,345.82,0.93,0.34,12.71,300.84,292.07,0.8916,345.80,0.93
0.8916,345.80,0.93,0.22,12.78,300.90,291.94,0.8900,345.79,0.93
0.8900,345.79,0.93,0.28,12.76,300.96,292.01,0.8892,345.78,0.93
0.8892,345.78,0.93,0.32,12.85,301.00,291.82,0.8888,345.76,0.93
0.8888,345.76,0.93,0.33,12.84,300.95,291.88,0.8886,345.75,0.93
0.8886,345.75,0.93,0.31,12.84,300.95,291.82,0.8882,345.73,0.93
0.8882,345.73,0.93,0.25,12.79,300.99,291.71,0.8871,345.72,0.93
0.8871,345.72,0.93,0.31,12.72,301.01,291.62,0.8866,345.71,0.93
0.8866,345.71,0.93,0.51,12.75,301.01,291.84,0.8885,345.69,0.93
0.8885,345.69,0.93,0.67,12.76,301.13,291.85,0.8923,345.66,0.93
0.8923,345.66,0.93,0.72,12.70,301.16,291.81,0.8967,345.63,0.93
0.8967,345.63,0.93,0.62,12.66,301.16,291.96,0.8998,345.60,0.93
0.8998,345.60,0.93,0.67,12.54,301.01,291.78,0.9034,345.57,0.93
0.9034,345.57,0.93,0.66,12.48,301.22,291.77,0.9069,345.54,0.93
0.9069,345.54,0.93,0.72,12.50,301.30,291.56,0.9110,345.51,0.93
0.9110,345.51,0.93,0.57,12.51,301.33,291.48,0.9135,345.48,0.93
0.9135,345.48,0.93,0.63,12.32,301.39,291.47,0.9165,345.45,0.93
0.9165,345.45,0.93,0.74,12.27,301.44,291.40,0.9207,345.42,0.92
0.9207,345.42,0.93,0.74,12.36,301.43,291.51,0.9250,345.39,0.93
0.9250,345.39,0.93,0.70,12.35,301.55,291.47,0.9288,345.36,0.92
0.9288,345.36,0.92,0.69,12.35,301.56,291.49,0.9325,345.33,0.92
0.9325,345.33,0.92,0.53,12.40,301.54,291.57,0.9344,345.30,0.92
0.9344,345.30,0.93,0.70,12.67,301.59,291.37,0.9384,345.27,0.93
0.9384,345.27,0.93,0.61,12.81,301.57,291.34,0.9415,345.25,0.93
0.9415,345.25,0.93,0.51,12.77,301.61,291.54,0.9433,345.23,0.93
0.9433,345.23,0.93,0.53,12.63,301.83,291.39,0.9453,345.20,0.93
0.9453,345.20,0.93,0.41,12.79,301.82,291.31,0.9459,345.18,0.93
0.9459,345.18,0.93,0.42,12.68,301.83,291.27,0.9466,345.17,0.93
0.9466,345.17,0.93,0.32,12.67,301.59,291.33,0.9461,345.15,0.93
0.9461,345.15,0.93,0.21,12.63,301.48,291.18,0.9444,345.14,0.93
0.9444,345.14,0.93,0.30,12.59,301.49,291.18,0.9437,345.13,0.93
0.9437,345.13,0.93,0.11,12.75,301.37,291.13,0.9408,345.13,0.93
0.9408,345.13,0.93,0.00,12.77,301.49,291.26,0.9366,345.13,0.93
0.9366,345.13,0.93,0.00,12.82,301.34,291.23,0.9324,345.13,0.93
0.9324,345.13,0.93,0.09,12.87,301.45,291.12,0.9294,345.12,0.93
0.9294,345.12,0.93,0.00,12.85,301.67,291.10,0.9252,345.12,0.93
0.9252,345.12,0.93,0.14,12.81,301.72,290.95,0.9228,345.12,0.93
0.9228,345.12,0.93,0.15,12.83,301.76,290.87,0.9205,345.11,0.93
0.9205,345.11,0.93,0.06,12.90,301.71,290.77,0.9170,345.11,0.93
0.9170,345.11,0.93,0.00,12.93,301.54,290.75,0.9130,345.11,0.93
0.9130,345.11,0.93,0.16,12.85,301.41,290.92,0.9108,345.10,0.93
0.9108,345.10,0.93,0.04,12.91,301.48,291.09,0.9073,345.10,0.93
0.9073,345.10,0.93,0.08,12.79,301.51,291.21,0.9042,345.09,0.93
0.9042,345.09,0.93,0.02,12.76,301.48,291.22,0.9005,345.09,0.93
0.9005,345.09,0.93,0.00,12.89,301.35,291.18,0.8965,345.09,0.93
0.8965,345.09,0.93,0.00,12.84,301.48,291.20,0.8925,345.09,0.93
0.8925,345.09,0.93,0.05,12.76,301.32,291.21,0.8891,345.09,0.93
0.8891,345.09,0.93,0.00,12.72,301.29,291.37,0.8851,345.09,0.93
0.8851,345.09,0.93,0.00,12.78,301.34,291.23,0.8812,345.09,0.93
0.8812,345.09,0.93,0.06,12.80,301.50,291.19,0.8780,345.09,0.93
0.8780,345.09,0.93,0.09,12.69,301.49,291.20,0.8752,345.08,0.93
0.8752,345.08,0.93,0.01,12.74,301.35,291.22,0.8714,345.08,0.93
0.8714,345.08,0.93,0.00,12.69,301.30,291.29,0.8676,345.08,0.93
0.8676,345.08,0.93,0.00,12.58,301.28,291.30,0.8637,345.08,0.93
0.8637,345.08,0.93,0.04,12.71,301.32,291.18,0.8604,345.08,0.93
0.8604,345.08,0.93,0.05,12.69,301.38,291.06,0.8571,345.08,0.93
0.8571,345.08,0.93,0.18,12.74,301.36,290.97,0.8555,345.07,0.93
0.8555,345.07,0.93,0.21,12.85,301.47,290.72,0.8542,345.06,0.93
0.8542,345.06,0.93,0.21,12.71,301.60,290.82,0.8529,345.05,0.93
0.8529,345.05,0.93,0.36,12.57,301.37,290.89,0.8534,345.04,0.93
0.8534,345.04,0.93,0.50,12.40,301.55,290.89,0.8553,345.02,0.93
0.8553,345.02,0.93,0.39,12.39,301.64,290.94,0.8561,345.00,0.93
0.8561,345.00,0.93,0.48,12.24,301.64,290.99,0.8577,344.98,0.93
0.8577,344.98,0.93,0.48,12.20,301.67,291.03,0.8594,344.96,0.93
0.8594,344.96,0.93,0.54,12.12,301.78,291.14,0.8618,344.93,0.93
0.8618,344.93,0.93,0.45,12.24,301.66,291.28,0.8631,344.92,0.93
0.8631,344.92,0.93,0.31,11.98,301.64,291.30,0.8628,344.90,0.93
0.8628,344.90,0.93,0.26,11.88,301.65,291.24,0.8620,344.89,0.93
0.8620,344.89,0.93,0.30,11.89,301.67,291.32,0.8616,344.88,0.93
0.8616,344.88,0.93,0.36,11.72,301.72,291.39,0.8617,344.86,0.93
0.8617,344.86,0.93,0.15,11.74,301.76,291.46,0.8595,344.86,0.93
0.8595,344.86,0.93,0.16,11.67,301.70,291.28,0.8575,344.85,0.93
0.8575,344.85,0.93,0.33,11.65,301.75,291.34,0.8573,344.83,0.93
0.8573,344.83,0.93,0.19,11.67,301.67,291.27,0.8557,344.83,0.93
0.8557,344.83,0.93,0.09,11.72,301.66,291.32,0.8529,344.82,0.93
0.8529,344.82,0.93,0.00,11.63,301.71,291.31,0.8492,344.82,0.93
0.8492,344.82,0.93,0.00,11.69,301.73,291.41,0.8455,344.82,0.93
0.8455,344.82,0.93,0.02,11.79,301.79,291.56,0.8420,344.82,0.93
0.8420,344.82,0.93,0.00,11.65,301.61,291.54,0.8384,344.82,0.93
0.8384,344.82,0.93,0.00,11.95,301.60,291.53,0.8347,344.82,0.93
0.8347,344.82,0.93,0.00,12.08,301.50,291.61,0.8311,344.82,0.93
0.8311,344.82,0.93,0.21,12.07,301.49,291.57,0.8299,344.81,0.93
0.8299,344.81,0.93,0.00,12.17,301.54,291.48,0.8263,344.81,0.93
0.8263,344.81,0.93,0.01,12.17,301.53,291.36,0.8228,344.81,0.93
0.8228,344.81,0.93,0.02,12.16,301.60,291.34,0.8195,344.81,0.93
0.8195,344.81,0.93,0.03,12.13,301.67,291.54,0.8162,344.81,0.93
0.8162,344.81,0.93,0.00,12.05,301.62,291.55,0.8127,344.81,0.93
0.8127,344.81,0.93,0.00,11.97,301.71,291.59,0.8091,344.81,0.93
0.8091,344.81,0.93,0.00,12.00,301.73,291.50,0.8056,344.81,0.93
0.8056,344.81,0.93,0.00,11.94,301.63,291.70,0.8021,344.81,0.93
0.8021,344.81,0.93,0.00,11.77,301.69,291.67,0.7986,344.81,0.93
0.7986,344.81,0.93,0.00,11.76,301.68,291.60,0.7952,344.81,0.93
0.7952,344.81,0.93,0.03,11.76,301.70,291.71,0.7920,344.81,0.93
0.7920,344.81,0.93,0.00,11.71,301.55,291.87,0.7886,344.81,0.93
0.7886,344.81,0.93,0.00,11.68,301.62,291.67,0.7851,344.81,0.93
0.7851,344.81,0.93,0.01,11.66,301.54,291.65,0.7818,344.81,0.93
0.7818,344.81,0.93,0.03,11.79,301.71,291.68,0.7787,344.81,0.93
0.7787,344.81,0.93,0.10,11.65,301.64,291.64,0.7764,344.80,0.93
0.7764,344.80,0.93,0.00,11.67,301.60,291.61,0.7731,344.80,0.93
0.7731,344.80,0.93,0.30,11.62,301.63,291.78,0.7729,344.79,0.93
0.7729,344.79,0.93,0.37,11.52,301.54,291.61,0.7735,344.77,0.93
0.7735,344.77,0.93,0.45,11.50,301.48,291.58,0.7750,344.75,0.93
0.7750,344.75,0.93,0.28,11.53,301.40,291.43,0.7747,344.74,0.93
0.7747,344.74,0.93,0.28,11.53,301.56,291.44,0.7743,344.73,0.93
0.7743,344.73,0.93,0.00,11.56,301.27,291.52,0.7709,344.73,0.93
0.7709,344.73,0.93,0.00,11.44,301.27,291.37,0.7676,344.73,0.93
0.7676,344.73,0.93,0.02,11.42,301.23,291.53,0.7645,344.73,0.93
0.7645,344.73,0.93,0.00,11.46,301.21,291.60,0.7612,344.73,0.93
0.7612,344.73,0.93,0.00,11.45,301.35,291.67,0.7580,344.73,0.93
0.7580,344.73,0.93,0.00,11.50,301.27,291.61,0.7547,344.73,0.93
0.7547,344.73,0.94,0.02,11.66,301.36,291.40,0.7517,344.73,0.94
0.7517,344.73,0.94,0.00,11.66,301.21,291.38,0.7484,344.73,0.94
0.7484,344.73,0.94,0.19,11.68,301.21,291.37,0.7473,344.72,0.94
0.7473,344.72,0.94,0.03,11.67,301.10,291.17,0.7444,344.72,0.94
0.7444,344.72,0.94,0.00,11.54,301.25,291.24,0.7412,344.72,0.94
0.7412,344.72,0.94,0.00,11.57,301.35,291.16,0.7380,344.72,0.94
0.7380,344.72,0.94,0.06,11.57,301.16,291.15,0.7355,344.72,0.94
0.7355,344.72,0.94,0.03,11.59,301.22,291.14,0.7326,344.71,0.94
0.7326,344.71,0.94,0.00,11.78,301.15,290.92,0.7294,344.71,0.94
0.7294,344.71,0.94,0.07,11.63,301.34,290.98,0.7270,344.71,0.94
0.7270,344.71,0.94,0.04,11.61,301.41,290.93,0.7244,344.71,0.94
0.7244,344.71,0.94,0.00,11.62,301.40,291.24,0.7213,344.71,0.94
0.7213,344.71,0.94,0.05,11.49,301.39,291.17,0.7187,344.71,0.94
0.7187,344.71,0.94,0.12,11.44,301.32,291.11,0.7168,344.70,0.94
0.7168,344.70,0.94,0.00,11.56,301.30,291.05,0.7137,344.70,0.94
0.7137,344.70,0.94,0.04,11.71,301.30,291.17,0.7111,344.70,0.94
0.7111,344.70,0.94,0.03,11.58,301.35,291.26,0.7084,344.70,0.94
0.7084,344.70,0.94,0.19,11.70,301.67,291.20,0.7075,344.69,0.94
0.7075,344.69,0.94,0.25,11.68,301.80,291.11,0.7071,344.68,0.94
0.7071,344.68,0.94,0.20,11.71,301.63,291.05,0.7063,344.67,0.94
0.7063,344.67,0.94,0.13,11.82,301.67,290.99,0.7046,344.67,0.94
0.7046,344.67,0.94,0.02,11.93,301.77,290.99,0.7018,344.67,0.94
0.7018,344.67,0.94,0.00,11.88,301.71,290.87,0.6988,344.67,0.94
0.6988,344.67,0.94,0.00,11.84,301.96,290.96,0.6958,344.67,0.94
0.6958,344.67,0.94,0.13,11.98,301.98,290.77,0.6943,344.66,0.94
0.6943,344.66,0.94,0.21,12.22,301.83,290.82,0.6937,344.65,0.94
0.6937,344.65,0.94,0.12,12.39,301.79,290.69,0.6921,344.65,0.94
